,0
AR.districts.Lohit.total.confirmed,2885
AR.districts.Lohit.total.deceased,26
AR.districts.Lohit.total.recovered,2851
AR.districts.Lohit.total.tested,14945
AR.districts.Lohit.total.vaccinated1,31120
AR.districts.Lohit.total.vaccinated2,22003
AR.districts.Longding.delta7.confirmed,1
AR.districts.Longding.delta7.vaccinated1,46
AR.districts.Longding.delta7.vaccinated2,356
AR.districts.Longding.meta.population,60000
AR.districts.Longding.meta.tested.date,2021-01-28
AR.districts.Longding.total.confirmed,752
AR.districts.Longding.total.deceased,2
AR.districts.Longding.total.recovered,749
AR.districts.Longding.total.tested,10342
AR.districts.Longding.total.vaccinated1,19259
AR.districts.Longding.total.vaccinated2,7826
AR.districts.Lower Dibang Valley.delta.vaccinated1,19
AR.districts.Lower Dibang Valley.delta.vaccinated2,1
AR.districts.Lower Dibang Valley.delta21_14.confirmed,6
AR.districts.Lower Dibang Valley.delta7.confirmed,14
AR.districts.Lower Dibang Valley.delta7.recovered,3
AR.districts.Lower Dibang Valley.delta7.vaccinated1,171
AR.districts.Lower Dibang Valley.delta7.vaccinated2,931
AR.districts.Lower Dibang Valley.meta.population,53986
AR.districts.Lower Dibang Valley.meta.tested.date,2021-01-28
AR.districts.Lower Dibang Valley.total.confirmed,2426
AR.districts.Lower Dibang Valley.total.deceased,11
AR.districts.Lower Dibang Valley.total.recovered,2397
AR.districts.Lower Dibang Valley.total.tested,12169
AR.districts.Lower Dibang Valley.total.vaccinated1,32639
AR.districts.Lower Dibang Valley.total.vaccinated2,22089
AR.districts.Lower Siang.delta7.vaccinated1,37
AR.districts.Lower Siang.delta7.vaccinated2,317
AR.districts.Lower Siang.meta.population,80597
AR.districts.Lower Siang.meta.tested.date,2021-01-28
AR.districts.Lower Siang.total.confirmed,738
AR.districts.Lower Siang.total.deceased,8
AR.districts.Lower Siang.total.recovered,730
AR.districts.Lower Siang.total.tested,7070
AR.districts.Lower Siang.total.vaccinated1,16565
AR.districts.Lower Siang.total.vaccinated2,9990
AR.districts.Lower Subansiri.delta.vaccinated1,2
AR.districts.Lower Subansiri.delta.vaccinated2,36
AR.districts.Lower Subansiri.delta21_14.confirmed,7
AR.districts.Lower Subansiri.delta7.confirmed,5
AR.districts.Lower Subansiri.delta7.recovered,2
AR.districts.Lower Subansiri.delta7.vaccinated1,85
AR.districts.Lower Subansiri.delta7.vaccinated2,767
AR.districts.Lower Subansiri.meta.population,82839
AR.districts.Lower Subansiri.meta.tested.date,2021-01-28
AR.districts.Lower Subansiri.total.confirmed,3036
AR.districts.Lower Subansiri.total.deceased,15
AR.districts.Lower Subansiri.total.recovered,3015
AR.districts.Lower Subansiri.total.tested,10564
AR.districts.Lower Subansiri.total.vaccinated1,26916
AR.districts.Lower Subansiri.total.vaccinated2,18827
AR.districts.Namsai.delta21_14.confirmed,8
AR.districts.Namsai.delta7.confirmed,4
AR.districts.Namsai.delta7.recovered,16
AR.districts.Namsai.delta7.vaccinated1,209
AR.districts.Namsai.delta7.vaccinated2,2436
AR.districts.Namsai.meta.population,95950
AR.districts.Namsai.meta.tested.date,2021-01-28
AR.districts.Namsai.total.confirmed,2124
AR.districts.Namsai.total.deceased,17
AR.districts.Namsai.total.recovered,2102
AR.districts.Namsai.total.tested,19987
AR.districts.Namsai.total.vaccinated1,63539
AR.districts.Namsai.total.vaccinated2,47104
AR.districts.Pakke Kessang.delta.vaccinated2,14
AR.districts.Pakke Kessang.delta21_14.confirmed,1
AR.districts.Pakke Kessang.delta7.vaccinated1,25
AR.districts.Pakke Kessang.delta7.vaccinated2,262
AR.districts.Pakke Kessang.meta.tested.date,2021-01-28
AR.districts.Pakke Kessang.total.confirmed,453
AR.districts.Pakke Kessang.total.recovered,453
AR.districts.Pakke Kessang.total.tested,3327
AR.districts.Pakke Kessang.total.vaccinated1,8004
AR.districts.Pakke Kessang.total.vaccinated2,4998
AR.districts.Papum Pare.delta.confirmed,1
AR.districts.Papum Pare.delta.recovered,1
AR.districts.Papum Pare.delta21_14.confirmed,22
AR.districts.Papum Pare.delta7.confirmed,7
AR.districts.Papum Pare.delta7.recovered,12
AR.districts.Papum Pare.delta7.vaccinated1,1055
AR.districts.Papum Pare.delta7.vaccinated2,3799
AR.districts.Papum Pare.meta.population,176385
AR.districts.Papum Pare.meta.tested.date,2021-01-28
AR.districts.Papum Pare.total.confirmed,18316
AR.districts.Papum Pare.total.deceased,98
AR.districts.Papum Pare.total.recovered,18212
AR.districts.Papum Pare.total.tested,41960
AR.districts.Papum Pare.total.vaccinated1,141168
AR.districts.Papum Pare.total.vaccinated2,100258
AR.districts.Shi Yomi.delta21_14.confirmed,3
AR.districts.Shi Yomi.delta7.confirmed,1
AR.districts.Shi Yomi.delta7.recovered,10
AR.districts.Shi Yomi.delta7.vaccinated1,2
AR.districts.Shi Yomi.delta7.vaccinated2,153
AR.districts.Shi Yomi.meta.population,13310
AR.districts.Shi Yomi.meta.tested.date,2021-01-28
AR.districts.Shi Yomi.total.confirmed,262
AR.districts.Shi Yomi.total.recovered,261
AR.districts.Shi Yomi.total.tested,2169
AR.districts.Shi Yomi.total.vaccinated1,6910
AR.districts.Shi Yomi.total.vaccinated2,5663
AR.districts.Siang.delta7.vaccinated1,40
AR.districts.Siang.delta7.vaccinated2,197
AR.districts.Siang.meta.population,31920
AR.districts.Siang.meta.tested.date,2021-01-28
AR.districts.Siang.total.confirmed,411
AR.districts.Siang.total.deceased,3
AR.districts.Siang.total.recovered,408
AR.districts.Siang.total.tested,4270
AR.districts.Siang.total.vaccinated1,14408
AR.districts.Siang.total.vaccinated2,9068
AR.districts.Tawang.delta21_14.confirmed,12
AR.districts.Tawang.delta7.confirmed,12
AR.districts.Tawang.delta7.recovered,8
AR.districts.Tawang.delta7.vaccinated1,91
AR.districts.Tawang.delta7.vaccinated2,759
AR.districts.Tawang.meta.population,49950
AR.districts.Tawang.meta.tested.date,2021-01-28
AR.districts.Tawang.total.confirmed,2577
AR.districts.Tawang.total.deceased,20
AR.districts.Tawang.total.recovered,2533
AR.districts.Tawang.total.tested,14224
AR.districts.Tawang.total.vaccinated1,29553
AR.districts.Tawang.total.vaccinated2,23287
AR.districts.Tirap.delta7.recovered,2
AR.districts.Tirap.delta7.vaccinated1,35
AR.districts.Tirap.delta7.vaccinated2,631
AR.districts.Tirap.meta.population,111997
AR.districts.Tirap.meta.tested.date,2021-01-28
AR.districts.Tirap.total.confirmed,1109
AR.districts.Tirap.total.deceased,5
AR.districts.Tirap.total.recovered,1102
AR.districts.Tirap.total.tested,14657
AR.districts.Tirap.total.vaccinated1,31565
AR.districts.Tirap.total.vaccinated2,21200
AR.districts.Upper Dibang Valley.delta21_14.confirmed,1
AR.districts.Upper Dibang Valley.delta7.recovered,1
AR.districts.Upper Dibang Valley.delta7.vaccinated1,3
